r "24g (24g)" "48h (48h)" "48h* (48h*)" "48h (48h,48h*)" "48h* (48h,48h*)"
0.5825 1.216517857142856 1.370907738095237 0.0688244047619047 1.4443050874029932 1.3543191800878465
0.5875 1.2741815476190466 1.333705357142856 0.08556547619047612 1.405110919495178 1.6837481698389445
0.5925 1.2072172619047608 1.3783482142857129 0.07812499999999993 1.4521439209845561 1.5373352855051232
0.5975 1.175595238095237 1.3448660714285703 0.09486607142857134 1.4168691698675226 1.8667642752562208
0.6025 1.1979166666666656 1.3244047619047608 0.0725446428571428 1.3953123775182241 1.427525622254757
0.6075 1.2741815476190466 1.369047619047618 0.10230654761904753 1.4423453790076026 2.0131771595900423
0.6125 1.216517857142856 1.2369791666666656 0.08184523809523803 1.3032060829348582 1.6105417276720337
0.6175 1.2313988095238084 1.3504464285714275 0.10974702380952371 1.422748295053695 2.1595900439238633
0.6225 1.2406994047619038 1.1235119047619038 0.10974702380952371 1.1836638708160216 2.1595900439238633
0.6275000000000001 1.1551339285714275 1.292782738095237 0.08556547619047612 1.361997334796581 1.6837481698389445
0.6325000000000001 1.1662946428571417 1.2797619047619038 0.08742559523809515 1.3482793760288458 1.7203513909223995
0.6375000000000001 1.2202380952380942 1.1421130952380942 0.0967261904761904 1.2032609547699293 1.9033674963396763
0.6425000000000001 1.1941964285714275 1.2369791666666656 0.0930059523809523 1.3032060829348582 1.8301610541727655
0.6475000000000001 1.1607142857142847 1.2090773809523798 0.120907738095238 1.2738104570039968 2.3792093704245953
0.6525000000000001 1.1811755952380942 1.1848958333333321 0.1339285714285713 1.2483342478639168 2.6354319180087824
0.6575000000000001 1.212797619047618 1.1030505952380942 0.0688244047619047 1.1621070784667231 1.3543191800878465
0.6625000000000001 1.1569940476190466 1.0956101190476182 0.11346726190476181 1.15426824488516 2.232796486090774
0.6675000000000001 1.2444196428571417 1.1011904761904752 0.120907738095238 1.1601473700713323 2.3792093704245953
0.6725000000000001 1.177455357142856 0.9654017857142849 0.08742559523809515 1.0170886572078066 1.7203513909223995
0.6775000000000001 1.2072172619047608 0.9244791666666659 0.120907738095238 0.9739750725092098 2.3792093704245953
0.6825000000000001 1.1681547619047608 0.8816964285714277 0.10416666666666659 0.9289017794152221 2.0497803806734978
0.6875000000000001 1.1979166666666656 0.809151785714285 0.10416666666666659 0.8524731519949824 2.0497803806734978
0.6925000000000001 1.173735119047618 0.7719494047619041 0.1171874999999999 0.8132789840871671 2.306002928257685
0.6975000000000001 1.1253720238095228 0.7645089285714279 0.12648809523809512 0.805440150505604 2.489019033674961
0.7025 1.2109375000000258 0.6584821428571569 0.08556547619047802 0.6937367719683459 1.6837481698389818
0.7075 1.2072172619047608 0.6249999999999994 0.10974702380952371 0.656502312455906 2.1595900439238633
0.7125 1.1495535714285703 0.5915178571428567 0.13950892857142846 0.6153484361527 2.598828696925327
0.7175 1.0565476190476182 0.5524553571428567 0.1506696428571427 0.556557184290977 2.415812591508051
0.7225 1.1532738095238084 0.5543154761904757 0.12834821428571416 0.5702751430587124 2.1595900439238633
0.7275 1.1476934523809512 0.483630952380952 0.12834821428571416 0.4703300148937834 2.0131771595900423
0.7325 1.1514136904761894 0.5468749999999996 0.120907738095238 0.5271615583601155 1.8667642752562208
0.7375 1.1514136904761894 0.40736607142857106 0.12462797619047607 0.39586109586893437 1.7935578330893103
0.7425 1.09188988095238 0.40550595238095205 0.11904761904761894 0.389981970682762 1.427525622254757
0.7475 1.1123511904761896 0.39806547619047583 0.10974702380952371 0.3645057615426821 0.9150805270863828
0.7525000000000001 1.0472470238095228 0.3869047619047616 0.11160714285714275 0.34294896919338375 1.0980966325036594
0.7575000000000001 0.967261904761904 0.3608630952380949 0.15438988095238082 0.315513051657913 1.3177159590043912
0.7625000000000001 1.1123511904761896 0.3106398809523807 0.12276785714285704 0.2763188837500977 1.061493411420204
0.7675000000000001 1.1216517857142847 0.3292410714285712 0.1450892857142856 0.2763188837500977 1.2079062957540254
0.7725000000000001 0.967261904761904 0.3162202380952378 0.161830357142857 0.2469232578192363 1.390922401171302
0.7775000000000001 0.9933035714285705 0.3031994047619045 0.12276785714285704 0.24496354942384552 0.9516837481698381
0.7825000000000001 1.0026041666666656 0.24367559523809504 0.1376488095238094 0.18029317237595033 0.9516837481698381
0.7875000000000001 0.9635416666666659 0.26971726190476164 0.17113095238095224 0.207729089911421 1.061493411420204
